User_ID_Alias,User_Age,User_Gender,User_Occupation,User_ZipCode
123,25,M,6,53217
124,25,M,3,55455
125,25,F,20,91403
126,25,M,15,2143
127,35,M,1,59801
128,35,M,1,22181
129,18,M,1,14620
130,18,M,1,43623
131,25,M,2,7026
132,25,M,10,55414
133,50,F,20,88005
134,25,M,16,91402
135,18,M,4,2115
136,25,M,7,55439
137,25,M,11,20878
138,45,F,6,4240
139,25,M,4,97333
140,18,F,7,11215
141,25,M,4,43138
142,1,F,10,53704
143,18,M,4,48073
144,25,M,0,43623
145,35,F,20,10954
146,45,F,20,89134
147,18,M,14,60194
148,25,M,17,32308
149,18,M,19,94618
150,18,M,1,95814
151,1,M,10,80540
152,35,M,20,60640
153,18,F,9,62225
154,25,F,3,84770
155,25,F,7,92120
156,25,M,19,94111
157,56,M,17,55104
158,56,M,1,55116
159,25,F,3,97401
160,35,M,12,61614
161,50,F,1,55413
162,25,M,4,44706
163,25,M,14,55435
164,35,M,12,94025
165,18,F,4,53715
166,50,M,20,97030
167,25,M,4,48109
168,56,M,0,1886
169,18,M,4,44056
170,50,M,14,92026
171,25,F,4,4101
172,25,F,1,4210
173,18,F,4,55118
174,35,M,7,31047
175,18,M,16,27705
176,25,M,12,12866
177,25,M,0,10310
178,45,F,17,27616
179,25,M,14,55391
180,45,M,2,60613
181,35,M,17,3820
182,25,M,0,71731
183,1,M,10,42754
184,45,F,1,43214
185,35,M,3,48107
186,18,M,17,94941
187,35,M,12,97006
188,35,M,11,94061
189,35,M,12,55803
190,25,M,7,6851
191,1,M,10,75633
192,35,M,20,90012
193,35,M,7,2115
194,35,M,11,20895
195,45,M,1,18901
196,35,M,17,55934
197,35,F,1,23062
198,25,F,1,6417
199,25,M,4,22903
200,25,M,14,94110
201,25,M,3,94123
202,25,F,11,55409
203,50,F,6,33436
204,25,M,18,85213
205,25,M,11,20008
206,50,M,1,20815
207,25,M,17,54915
208,35,M,17,22810
209,25,M,2,11105
210,18,M,4,91501
211,25,M,20,94014
212,25,M,0,84119
213,1,M,19,75602
214,18,M,0,60451
215,25,M,17,19711
216,35,M,14,6880
217,25,M,17,97401
218,50,M,12,98056
219,35,F,9,85255
220,25,M,7,10025
221,18,M,4,6520
222,45,M,7,1605
223,18,M,4,64154
224,25,M,12,94501
225,18,M,4,30305
226,18,M,4,60115
227,25,F,0,19001
228,25,M,17,98115
229,50,M,15,12740
230,18,M,0,55112
231,25,M,12,94114
232,18,M,4,10027
233,35,F,14,19147
234,18,M,0,53051
235,35,M,0,13207
236,35,M,1,44303
237,35,M,20,80222
238,18,F,4,95616
239,25,M,17,19801
240,25,F,7,2332
241,25,F,2,10475
242,18,F,4,90039
243,35,M,5,10990
244,25,M,16,55421
245,56,M,1,49006
246,25,F,17,92084
247,56,M,1,40601
248,25,M,14,6880
249,25,F,0,2138
250,18,F,4,77005
251,18,M,17,2140
252,35,F,16,92054
253,35,M,0,98503
254,56,M,7,78701
255,25,M,7,19003
256,56,F,2,99701
257,18,M,19,98502
258,35,F,9,37843
259,25,M,20,94111
260,1,M,19,53711
261,18,M,4,95616
262,56,M,13,94134
263,35,M,16,11358
264,25,F,1,95617
265,35,F,2,80012
266,35,F,7,60302
267,1,F,10,22801
268,25,M,7,33308
269,18,F,1,48067
270,25,F,12,48103
271,25,F,0,87114
272,56,M,11,4259
273,1,F,2,60660
274,35,M,7,77565
275,25,M,0,45801
276,25,M,4,22903
277,18,M,12,55057
278,25,M,7,79416
279,50,M,20,98119
280,35,M,4,45205
281,18,F,17,83843
282,35,M,2,20818
283,18,M,4,1003
284,25,M,4,4309
285,18,F,15,2115
286,1,F,10,64093
287,25,F,14,93428
288,35,M,17,97330
289,25,F,0,60513
290,25,M,0,92646
291,35,M,7,27511
292,1,M,10,60148
293,35,F,9,46077
294,25,M,1,13210
295,1,M,10,91326
296,45,F,15,44106
297,18,M,4,78613
298,1,M,1,48304
299,50,M,6,1545
300,25,F,15,15213
301,25,M,7,21030
302,35,M,6,50265
303,45,M,11,90028
304,18,M,4,2111
305,35,M,16,12866
306,25,F,14,55104
307,1,F,10,2332
308,25,M,7,84088
309,25,F,19,90020
310,35,F,19,75069
311,56,M,16,77079
312,25,M,20,90802
313,25,M,1,92120
314,35,M,16,99352
315,25,M,12,55117
316,18,F,14,22206
317,18,F,4,2142
318,18,M,4,6511
319,25,F,15,27603
320,18,M,1,10977
321,25,M,12,97330
322,18,M,4,94704
323,50,F,6,15333
324,18,M,17,10804
325,25,M,19,31401
326,25,M,14,7702
327,18,M,4,92037
328,25,M,7,98908
329,25,F,3,92116
330,35,F,12,91104
331,25,M,5,98380
332,45,M,17,99005
333,50,M,7,7405
334,25,M,16,4101
335,35,M,16,46214
336,35,M,1,92614
337,25,M,0,20744-6223
338,25,M,4,49456
339,35,M,17,94550
340,56,F,13,94566
341,1,F,1,90802
342,25,M,17,61265
343,25,M,11,55426
344,25,M,3,66205
345,45,F,12,8033
346,25,M,7,14302
347,25,M,18,98438
348,35,M,17,55407
349,25,M,2,8817
350,18,M,17,94063
351,18,M,4,10027
352,18,F,4,80228
353,35,M,0,90254
354,18,M,4,46219
355,25,M,4,90210
356,25,M,20,85207
357,25,M,7,6854
358,25,M,0,92346
359,25,M,6,19428
360,50,F,9,24018
361,18,M,4,85210
362,18,M,10,60148
363,45,M,1,97405
364,45,F,20,4240
365,45,M,7,55016
366,18,M,17,47901
367,18,M,7,2215
368,35,M,0,98368
369,25,M,20,91740
370,50,M,20,30030
371,25,M,0,45237
372,18,F,2,98102
373,25,M,12,94608
374,25,M,11,2453
375,18,F,4,11214
376,25,M,20,55092
377,25,M,1,10003
378,50,M,14,13210
379,35,M,14,95746
380,25,M,7,12206
381,25,F,0,85207
382,25,M,1,55105
383,25,F,2,85719
384,25,M,17,94041
385,50,M,7,92886
386,45,M,14,7458
387,35,M,12,96797
388,18,M,4,98312
389,25,M,4,32653
390,18,M,4,43551
391,18,M,6,21202
392,1,M,12,2138
393,35,F,0,94109
394,18,F,4,48104
395,18,M,14,10017
396,45,M,16,1880
397,35,F,9,4046
398,25,M,7,2135
399,25,M,4,55417
400,35,M,20,32708
401,45,M,1,52001
402,50,F,6,30307
403,25,M,4,55417
404,25,M,2,90210
405,25,F,3,30308
406,35,M,7,55116
407,35,F,9,61270
408,18,M,18,21740
409,50,M,0,66048
410,45,F,1,55407
411,25,M,7,98115
412,35,F,20,75287
413,56,M,16,19131
414,18,F,4,54302
415,45,F,3,1770
416,25,M,1,14608
417,25,M,5,80209
418,25,M,7,45011
419,25,M,4,18104
420,25,M,12,45241
421,25,M,12,60613
422,35,F,0,10011
423,18,M,4,13165
424,25,M,12,98103
425,25,M,0,66212
426,35,F,0,2138
427,50,F,11,94102
428,25,M,20,10002
429,1,M,10,60202
430,25,F,3,98501
431,35,M,0,4473
432,25,M,15,91125
433,35,M,7,20716
434,18,F,20,49321
435,25,M,1,29205
436,18,M,11,53705
437,45,M,12,37853
438,35,F,5,12345
439,56,M,7,20003-2712
440,25,M,11,2143
441,35,M,4,10036
442,45,M,14,63130
443,25,M,20,22936
444,25,M,2,55405
445,25,F,4,78728
446,25,F,2,63119
447,1,M,10,49454
448,45,F,6,2453
449,35,M,20,90292
450,18,M,12,2143
451,25,M,4,44514
452,35,F,0,55116
453,45,F,0,80010
454,25,F,2,2903
455,18,M,4,61801
456,18,M,4,7461
457,25,M,0,31605
458,25,M,17,75075
459,25,M,0,98153
460,18,M,16,97405
461,25,F,3,92831
462,35,F,2,97401
463,25,F,4,43201
464,18,M,16,55416
465,18,M,4,27607
466,35,M,7,10040
467,35,M,16,85730
468,18,M,4,56001
469,18,M,0,46304
470,18,M,12,55113
471,56,M,13,95929
472,56,F,1,93105
473,35,M,12,94402
474,18,M,14,60073
475,35,M,2,97214
476,25,M,0,3867
477,35,M,7,13021
478,25,M,14,33133
479,45,F,1,43202
480,25,M,7,5401
481,25,M,14,92104
482,18,F,20,495321
483,35,M,17,94533
484,25,M,12,926
485,18,M,4,97331
486,25,M,17,28262
487,25,M,7,22902
488,35,M,7,98144
489,18,M,4,55104
490,25,F,20,24015
491,25,M,17,94131
492,1,M,10,43357
493,25,M,5,54703
494,25,M,17,20036
495,18,M,4,76401
496,18,M,20,60641
497,56,M,13,32806
498,25,M,0,60622
499,56,M,13,13685
500,50,M,3,75650
501,35,M,18,56303
502,18,M,4,48202
503,25,M,17,92882
504,50,M,0,43231
505,25,M,1,6877
506,25,F,6,33076
507,25,M,7,94117
508,25,M,5,12308
509,18,M,3,98122
510,25,M,4,45810
511,25,F,12,55438
512,18,M,14,76401
513,18,F,1,94606
514,45,M,17,88005-4313
515,25,M,2,98502
516,25,M,16,78411
517,25,M,5,96815
518,18,M,4,4901
519,50,M,1,37922
520,25,F,3,85226
521,25,M,16,20850
522,35,M,7,6430
523,18,M,4,2139
524,25,F,7,43214
525,35,M,20,10036
526,25,M,1,20120-6354
527,35,F,19,32095
528,25,M,1,2908
529,25,M,7,10025
530,56,M,0,78232
531,25,M,0,6810
532,18,M,0,94530
533,25,M,12,21045
534,56,M,1,55337-4056
535,25,M,6,68108
536,45,M,0,46060
537,18,M,4,55105
538,25,M,0,73003
539,18,F,4,31207
540,1,M,19,53711
541,45,M,7,48103
542,35,F,16,3301
543,25,M,7,60137
544,35,M,4,98125
545,25,F,3,55102
546,25,M,7,60607
547,45,M,2,90813
548,25,M,4,53711
549,18,M,4,59715
550,25,M,15,94040
551,25,M,14,55305
552,50,M,1,45385
553,56,M,16,79930
554,35,M,7,12110
555,18,M,20,93455
556,18,M,2,2322
557,18,M,2,10012
558,18,M,4,55116
559,25,M,12,60068
560,25,M,17,7030
561,25,M,4,1002
562,35,M,11,96813
563,35,F,2,55117
564,35,M,15,55117
565,35,F,20,94025
566,18,F,4,63109
567,45,F,7,30260
568,45,M,16,55011
569,25,M,5,55100
570,25,F,2,94040
571,56,M,13,2115
572,25,M,4,57006
573,25,M,17,60555
574,25,M,7,55429
575,25,F,6,19102
576,25,F,1,85224
577,25,M,20,44313
578,50,M,11,90041
579,25,M,7,29662
580,56,F,9,46911
581,35,M,7,66224
582,18,M,4,94507
583,25,M,12,84062
584,45,M,2,10920
585,25,M,7,92612
586,50,F,16,90272
587,25,M,1,97321
588,45,M,15,26105
589,25,F,4,97233
590,25,F,14,94109
591,45,M,16,93448
592,25,M,14,55113
593,18,F,1,11375
594,25,M,7,43228
595,50,M,1,55109
596,50,M,1,90027
597,25,F,1,7666
598,18,M,4,48135
599,18,M,4,31201
600,18,M,4,55102
601,35,M,14,55330
602,50,M,16,77079
603,35,F,9,6074
604,25,F,4,55455
605,18,M,14,7017
606,50,F,4,96822
607,25,M,7,55405
608,50,M,16,92612-3417
609,18,M,15,95616
610,35,M,17,94022
611,35,F,3,99504
612,25,M,6,92130
613,25,M,7,10012
614,18,F,2,55118
615,25,M,4,84111
616,1,M,10,7869
617,25,M,0,3755
618,35,M,1,98502
619,25,M,4,24060
620,56,M,7,10522
621,18,M,4,44312
622,35,M,16,94108
623,56,M,16,32043
624,50,M,1,48105
625,35,F,9,95903
626,25,F,7,48105
627,25,M,19,45701
628,35,M,7,30324
629,56,M,14,1545
630,35,F,12,55555
631,25,M,7,91403
632,50,M,2,60660
633,18,F,4,63109
634,35,M,7,89128
635,45,M,7,75080
636,1,M,0,20132
637,45,M,2,55409
638,50,M,14,55414
639,25,M,14,91214
640,25,F,7,94117
641,18,M,4,76266
642,50,M,16,92129
643,45,M,1,37027
644,25,F,12,53154
645,50,F,3,10128
646,45,M,17,98052
647,25,M,1,92688
648,45,M,11,22204
649,35,M,17,55432
650,35,F,6,13210
651,25,M,16,67204
652,1,M,10,97801
653,18,F,2,95008
654,50,F,1,2324
655,25,F,0,2148
656,25,F,20,85013
657,25,M,17,94107
658,50,M,20,20007
659,1,F,19,14850
660,45,F,1,15208
661,25,M,0,23451
662,25,F,3,6810
663,18,M,4,11710-1641
664,25,M,11,75206
665,45,M,12,55001
666,25,M,20,19083
667,50,F,1,91711
668,35,F,9,55410
669,25,M,1,68516
670,45,M,11,94114
671,35,M,7,7040
672,25,M,1,35401
673,25,M,12,94520
674,25,M,4,94110
675,25,M,0,60660
676,18,M,4,61820
677,56,M,1,3825
678,25,M,7,55902
679,25,M,17,98102
680,25,F,0,2138
681,25,M,17,43201
682,18,M,17,2114
683,25,M,4,86314
684,45,F,6,78758
685,50,M,1,55126
686,25,M,16,53406
687,18,M,4,38120
688,18,M,4,2777
689,35,M,17,10025
690,50,F,0,95616
691,35,F,3,66210
692,25,F,11,23220
693,25,M,20,15701
694,25,M,17,2139
695,18,M,20,92026
696,18,M,4,55344
697,25,F,7,19103
698,35,F,0,94002
699,18,M,4,2871
700,25,M,7,5346
701,25,M,7,30115
702,25,M,15,94550
703,50,F,12,55391
704,18,M,1,78133
705,45,F,0,2115
706,25,M,12,97370
707,25,M,17,90505
708,25,M,4,78703
709,25,M,6,11106
710,25,F,6,74105
711,50,M,2,32117
712,25,M,1,93420-2852
713,18,M,16,29404-2205
714,1,M,0,8055
715,25,F,14,10022
716,25,M,12,7054
717,35,M,17,26505
718,25,M,1,95472
719,18,M,4,92153
720,25,F,7,10019
721,35,M,0,97212
722,25,F,7,75093
723,45,M,12,1603
724,18,F,4,48109
725,25,M,17,55744
726,1,M,10,95123
727,1,M,10,60423
728,18,F,4,43560
729,25,M,0,45678
730,50,F,4,20902
731,56,F,0,98801
732,25,M,2,60626
733,35,F,5,44313
734,25,M,4,60201
735,50,F,20,27516
736,25,M,11,7039
737,18,M,7,10038
738,18,M,4,53190
739,25,M,4,19103
740,25,M,12,78731
741,25,M,7,94022
742,35,M,2,55410
743,35,M,5,34786
744,25,F,15,62901
745,25,M,0,1701
746,45,M,15,92880
747,25,M,11,75801
748,35,F,1,29070
749,25,F,20,55428
750,45,M,2,60626
751,45,M,15,93555
752,25,M,3,96813
753,18,M,5,48504
754,35,F,17,90291
755,45,M,7,91766
756,56,F,2,3431
757,25,M,2,10025
758,35,M,1,45750
759,25,M,15,37923
760,35,M,7,60188
761,56,M,16,95816
762,25,F,14,78251
763,18,F,4,78705
764,45,M,1,37209
765,35,M,0,85621
766,35,M,7,77005
767,1,M,10,3608
768,35,F,1,14618
769,18,M,4,2454
770,35,M,0,94559
771,25,F,4,91740
772,35,M,17,17601
773,25,F,6,94132
774,25,F,0,55071
775,45,F,3,38028
776,25,M,4,2134
777,18,M,7,20037
778,1,M,10,48073
779,35,M,7,75214
780,35,M,10,94133
781,35,F,1,2155
782,25,M,0,43229
783,1,F,10,19390
784,25,M,1,94720
785,25,F,14,94010
786,25,M,20,75205
787,25,M,1,8904
788,18,F,4,45219
789,45,F,16,55116
790,25,F,7,19806
791,18,M,12,55123
792,35,F,9,97520
793,18,M,12,78750
794,50,F,7,12866
795,56,M,13,85749
796,18,M,4,2148
797,56,F,9,85749
798,25,F,14,90046
799,35,F,1,55107
800,25,M,0,95903
801,56,M,1,49327
802,25,M,20,2062
803,35,M,0,90049
804,25,M,20,92649
805,25,M,0,20015
806,35,F,0,10014
807,18,F,4,94305
808,18,M,4,85282
809,35,M,14,94530
810,50,M,17,92661
811,25,M,7,10016
812,25,F,0,48067
813,25,M,15,55455
814,18,F,4,14850
815,35,M,14,30030
816,25,M,14,8742
817,25,M,0,37205
818,25,M,3,7719
819,56,M,1,13077
820,18,M,20,48135
821,25,M,4,94107
822,25,M,7,22407
823,35,M,0,45242
824,35,M,7,19610
825,18,M,4,77005
826,56,M,15,13207
827,25,M,7,94043
828,25,F,0,94403
829,35,F,7,97401
830,18,F,0,19143
831,56,M,13,14215
832,18,M,4,94945
833,56,M,17,49506
834,18,F,4,53706
835,56,M,16,60610
836,1,M,10,19116
837,35,M,0,20715
838,25,M,15,93107
839,35,M,7,7663
840,25,M,12,55108
841,50,F,18,4849
842,18,M,4,53706
843,50,F,13,53092
844,18,F,4,2138
845,1,M,10,48073
846,35,M,20,17112
847,25,M,0,60647
848,18,M,15,53706
849,45,M,1,47933
850,35,M,1,91030
851,25,F,2,94133
852,25,M,5,97213
853,25,F,15,55455
854,25,M,17,49017
855,50,M,13,98683
856,50,M,15,2474
857,45,M,2,6513
858,25,M,16,8826
859,18,M,6,30064
860,18,M,4,22903
861,35,M,14,95822
862,45,M,17,85202
863,18,F,4,55422
864,18,M,1,94706
865,35,M,7,70116
866,45,F,0,37922
867,1,M,10,41011
868,18,M,4,98499
869,35,M,7,10019
870,25,M,0,16101
871,35,M,1,74012
872,25,M,15,10461
873,35,M,2,62263-3004
874,1,M,10,12159
875,35,F,0,37920
876,18,M,4,13165
877,35,M,2,55423
878,18,M,12,55405
879,45,M,13,30030
880,35,M,7,55413
881,18,M,14,80023
882,1,M,10,15208
883,25,M,1,4086
884,25,M,0,90293
885,50,M,1,74105
886,18,M,12,91423
887,18,M,4,98225
888,50,F,14,60618
889,35,F,1,94044
890,18,M,4,10128
891,25,M,0,10021
892,50,M,13,2125
893,35,F,1,14619
894,50,M,16,92129
895,56,M,12,43056
896,35,M,14,55129
897,25,M,3,22601
898,25,M,7,63105
899,35,M,6,94598
900,18,M,4,10013
901,25,M,1,60615
902,25,F,11,6107
903,35,F,17,48098
904,35,M,0,2108
905,25,M,7,92123
906,35,M,16,92352
907,45,M,0,24541
908,35,M,1,49417
909,35,M,17,12159
910,35,M,1,22903
911,25,M,7,98115
912,18,M,4,61761
913,18,F,4,44243
914,25,M,15,94121
915,45,M,6,2339
916,45,M,16,10962
917,25,M,5,74055
918,18,M,0,73505
919,25,M,15,53706
920,35,M,17,23451
921,18,M,4,44685
922,25,F,4,23454
923,18,M,4,77802
924,25,F,7,10023
925,45,M,2,94306
926,50,M,11,44622
927,25,M,1,97302
928,18,M,4,18011
929,25,F,0,37203
930,35,M,0,20755
931,18,F,2,55105
932,56,M,7,10023
933,18,M,4,94133
934,56,M,7,92065
935,25,M,19,94607
936,25,M,0,10006
937,25,M,4,80526
938,18,F,1,60914
939,18,M,4,12188
940,18,F,19,95019
941,1,M,10,51537
942,25,M,0,97212
943,25,M,12,10025
944,25,F,4,53951
945,25,F,19,98102
946,25,F,2,55106
947,35,M,7,11767
948,25,M,11,55427
949,25,M,2,55113
950,35,M,3,94109
951,50,M,16,98103
952,45,M,12,48130
953,25,M,17,6460
954,25,M,4,53703
955,18,M,4,53706
956,50,M,6,13035
957,1,M,10,60565
958,25,M,4,16802
959,35,M,15,83616
960,35,F,1,84108
961,35,M,1,80026
962,18,M,4,49546
963,45,M,20,93108
964,35,M,1,14260
965,35,F,15,53704
966,35,M,17,60103
967,56,M,7,91356
968,25,M,1,85364
969,18,F,4,11024
970,50,M,1,27705
971,35,F,0,4255
972,35,M,0,97403
973,25,M,5,4103
974,25,M,3,91221
975,1,F,10,54467
976,25,M,7,10019
977,45,M,16,33334
978,35,M,1,55406
979,35,M,6,48105
980,25,M,16,97401
981,25,M,0,33073
982,45,F,0,55419
983,25,F,6,28412
984,25,F,1,22307
985,25,M,0,92008
986,25,M,12,90240
987,18,M,4,98188
988,50,M,16,10025
989,25,M,12,55105
990,35,M,12,10011
991,35,M,7,95008
992,56,M,14,18954
993,18,F,4,10039
994,50,M,6,94702
995,50,M,7,76054
996,25,M,17,2140
997,35,F,17,45014
998,18,F,4,10033
999,25,M,0,2472
1000,35,M,0,44130
1001,50,F,6,4086
1002,35,M,7,2127
1003,25,F,0,91107
1004,56,M,14,55337
1005,25,M,14,6405
1006,45,M,0,10016
1007,25,M,7,33486
1008,18,M,4,12309
1009,25,M,4,6511
1010,35,F,7,8318
1011,18,F,4,93117
1012,50,M,2,10028
1013,35,M,12,92009
1014,1,M,0,2780
1015,25,M,7,20006
1016,50,M,1,13224
1017,25,M,20,90048
1018,35,M,7,6905
1019,25,M,17,49445
1020,18,M,4,67042
1021,45,F,0,11217
1022,45,M,2,90631
1023,18,M,4,55404
1024,50,M,17,8055
1025,45,M,1,44406
1026,18,M,4,49855
1027,25,M,4,78705
1028,18,F,4,48135
1029,35,F,6,23507
1030,45,M,17,48073
1031,25,M,4,68108
1032,25,M,17,95405
1033,25,M,3,2359
1034,25,F,3,17522
1035,25,F,9,7307
1036,45,M,11,22122
1037,25,M,14,27605
1038,50,F,0,98226
1039,25,F,1,55410
1040,1,M,10,55427
1041,56,M,13,94025
1042,25,F,4,95616
1043,25,M,7,53715
1044,35,M,7,17740
1045,18,M,4,16803
1046,25,M,12,94114
1047,18,M,4,70118
1048,56,M,1,23608
1049,18,M,4,55128
1050,35,M,20,55407
1051,18,F,4,72227
1052,18,M,10,97303
1053,50,M,11,25302
1054,45,M,1,81004
1055,35,F,20,66205
1056,35,M,1,29706
1057,18,M,0,95037
1058,25,M,7,33309
1059,35,F,1,95370
1060,25,M,18,80521
1061,25,M,0,27615
1062,25,M,4,84064
1063,25,F,16,78028
1064,1,M,10,58078
1065,25,M,7,10011
1066,35,F,3,1545
1067,18,M,19,87543
1068,25,M,14,2460
1069,18,M,4,55414
1070,25,F,2,83712
1071,25,M,2,60156
1072,56,M,1,15701
1073,18,M,4,2912
1074,18,M,5,48185
1075,18,M,7,60012
1076,56,M,1,4056
1077,35,M,20,92308
1078,50,M,17,57747
1079,25,M,2,10023
1080,35,M,7,76109
1081,18,F,0,45212
1082,18,M,4,54902
1083,25,M,20,2141
1084,18,F,1,80302
1085,35,F,20,55104
1086,35,F,7,55111
1087,25,M,0,48197
1088,45,F,2,27514
1089,35,M,11,8003
1090,45,F,6,2135
1091,25,F,2,95123
1092,35,M,7,7981
1093,35,M,17,37221
1094,25,M,4,29732
1095,18,M,4,54481
1096,1,F,0,44260
1097,25,M,3,19806
1098,35,M,14,10003
1099,25,M,14,94133
1100,25,M,2,55106
1101,1,M,0,11803
1102,25,M,0,10016
1103,18,M,4,10044
1104,18,F,4,91706
1105,35,M,9,67208
1106,56,M,20,55101
1107,18,M,0,53715
1108,25,M,14,92109
1109,35,M,14,91324
1110,25,F,1,80020
1111,56,M,13,3440
1112,18,F,4,90038
1113,25,F,20,91105
1114,35,M,12,75069
1115,25,F,1,30605
1116,35,M,12,14619
1117,1,F,10,13907
1118,18,M,4,92802
1119,25,M,0,45245
1120,35,F,14,55038
1121,35,M,7,38024
1122,25,F,14,95125
1123,25,F,1,7721
1124,35,M,7,39652
1125,25,M,0,6096
1126,25,M,15,2139
1127,35,M,12,3062
1128,25,F,1,45241
1129,35,M,14,92075
1130,56,M,17,33785
1131,18,M,4,90048
1132,1,M,10,11803
1133,18,F,4,1002
1134,25,F,0,55405
1135,35,M,0,91504
1136,25,M,15,92648
1137,45,F,0,92126
1138,45,M,3,55421
1139,25,F,1,14607
1140,25,M,11,55408
1141,18,M,0,97005
1142,25,M,14,60045
1143,35,M,16,7030
1144,1,M,19,15748
1145,25,F,11,43201
1146,25,F,1,4093
1147,25,F,1,98144
1148,35,M,7,10021
1149,35,F,9,10021
1150,56,M,16,94591
1151,1,F,10,48067
1152,25,F,0,23221
1153,25,M,17,48380
1154,25,M,15,6460
1155,18,M,12,77084
1156,56,M,13,44143
1157,18,M,20,90028
1158,35,M,6,75225
1159,35,M,0,33884
1160,1,F,10,1748
1161,25,M,0,11788
1162,50,M,6,98237
1163,50,M,0,91505
1164,25,M,17,33314
1165,25,M,12,83001
1166,45,F,1,98029
1167,25,F,14,55418
1168,18,M,4,76013
1169,50,M,15,55126
1170,18,M,12,98133
1171,18,M,17,72703
1172,25,M,4,92107
1173,25,M,0,94108
1174,18,M,4,1609
1175,25,M,7,23112
1176,35,M,6,96158
1177,25,M,7,22903
1178,56,M,16,70072
1179,25,M,15,55117
1180,45,M,7,2460
1181,25,F,0,97213
1182,18,F,4,49525
1183,18,F,4,78705-5221
1184,25,M,12,11413
1185,25,M,20,55455
1186,35,M,12,98103
1187,45,F,1,91901
1188,50,F,7,94611
1189,50,F,9,55117
1190,35,M,1,6810
1191,18,M,4,85013
1192,35,F,14,10028
1193,45,M,17,84109-2001
1194,25,M,17,61614
1195,25,M,12,32793
1196,1,F,10,77515
1197,45,M,1,2482
1198,45,M,1,93304
1199,35,M,0,60126
1200,45,M,16,48097
1201,35,F,0,20670
1202,25,F,7,94303
1203,50,M,1,95350
1204,18,F,3,95825
1205,25,M,11,27106
1206,45,M,7,64138
1207,18,M,16,99353
1208,18,M,6,10004
1209,35,M,7,33407
1210,25,M,11,19130
1211,25,F,0,19355
1212,35,F,7,19143
1213,56,M,7,6840
1214,50,F,13,34691
1215,18,F,0,2135
1216,25,F,9,66212
1217,35,M,17,66209
1218,56,M,17,55117
1219,18,F,4,2215
1220,18,M,4,61820
1221,25,M,8,24502
1222,18,F,4,15116
1223,45,M,0,10543
1224,25,M,14,4240
1225,25,M,12,60614
1226,45,F,16,94110
1227,25,M,0,96931
1228,18,M,19,75602
1229,18,M,4,94305
1230,25,M,17,92084
1231,35,F,3,98105
1232,25,F,2,98133
1233,18,M,4,72212
1234,35,F,12,55303
1235,1,F,10,10562
1236,50,M,1,56723
1237,25,M,2,30303
1238,35,M,20,60440
1239,18,M,19,30350
1240,50,M,1,72118
